epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.51095,1.34778,3.94853,1.19004,0.00188,0.26535,0.01406,0.00965,1.0978,3.86014,1.0241,8.335e-05,8.335e-05,8.335e-05
2,4.38935,1.20893,3.5228,1.10968,0.0024,0.36184,0.10099,0.06488,1.15357,3.73496,0.95536,0.000181555,0.000181555,0.000181555
3,6.25769,1.36462,2.82884,1.14627,0.00326,0.44846,0.16215,0.09065,1.25618,3.65736,0.98202,0.000277779,0.000277779,0.000277779
4,7.99516,1.2702,2.16366,1.11163,0.00299,0.40022,0.15106,0.08023,1.2747,3.65903,1.00019,0.000372023,0.000372023,0.000372023
5,9.69835,1.37177,2.2103,1.15284,0.00246,0.35417,0.03286,0.01104,1.28069,3.71331,1.02819,0.000464286,0.000464286,0.000464286
6,11.4182,1.26734,2.08802,1.14154,0.00229,0.32675,0.03935,0.0205,1.3079,3.60193,0.99964,0.000554569,0.000554569,0.000554569
7,13.1186,1.29176,1.96178,1.09844,0.00182,0.27303,0.03306,0.01913,1.24192,3.65995,1.05555,0.000642872,0.000642872,0.000642872
8,14.7562,1.41245,1.9629,1.16655,0.00068,0.13816,0.0136,0.00463,1.3852,3.66439,1.08775,0.000729194,0.000729194,0.000729194
9,16.396,1.35672,1.94067,1.13957,0.00367,0.14583,0.02885,0.01304,1.32217,3.58352,1.04765,0.000813536,0.000813536,0.000813536
10,18.0437,1.23443,1.75226,1.12602,0.79086,0.04167,0.11027,0.06032,1.43329,3.44306,1.08394,0.000895897,0.000895897,0.000895897
11,19.7925,1.31678,1.76351,1.13881,0.55908,0.11202,0.13049,0.09066,1.39607,3.21278,1.10884,0.000976279,0.000976279,0.000976279
12,21.446,1.24971,1.67531,1.12416,1,0.04142,0.17678,0.11094,1.51426,3.12109,1.15621,0.00105468,0.00105468,0.00105468
13,23.1024,1.2907,1.58974,1.13339,0.52627,0.08333,0.16562,0.11451,1.40305,3.13974,1.14847,0.0011311,0.0011311,0.0011311
14,24.7468,1.33626,1.64764,1.16821,0.28743,0.06996,0.20023,0.12814,1.46693,3.08295,1.20551,0.00120554,0.00120554,0.00120554
15,26.3762,1.28004,1.59424,1.15149,0.50397,0.08333,0.18546,0.12826,1.36215,3.52273,1.14221,0.001278,0.001278,0.001278
16,28.0087,1.27254,1.57324,1.10926,0.40071,0.12889,0.32806,0.19588,1.42958,2.79698,1.21899,0.00134848,0.00134848,0.00134848
17,29.6638,1.27831,1.45579,1.11142,0.43617,0.15991,0.32066,0.19185,1.50315,2.95303,1.22516,0.00140295,0.00140295,0.00140295
18,31.2741,1.26221,1.5129,1.14551,0.43734,0.12841,0.23229,0.12112,1.58948,4.8579,1.33071,0.00138644,0.00138644,0.00138644
19,32.9942,1.3199,1.47623,1.16582,0.50217,0.2318,0.25807,0.13818,1.59319,4.73641,1.30602,0.00136994,0.00136994,0.00136994
20,34.6093,1.28384,1.47169,1.13468,0.33037,0.49561,0.29357,0.19313,1.32922,5.43833,1.17493,0.00135344,0.00135344,0.00135344
21,36.2224,1.22465,1.35134,1.0963,0.38717,0.44737,0.29846,0.17612,1.57184,3.81593,1.23803,0.00133693,0.00133693,0.00133693
22,37.8499,1.23628,1.35468,1.1484,0.35163,0.55373,0.36423,0.225,1.37655,3.75785,1.17157,0.00132043,0.00132043,0.00132043
23,39.4878,1.18905,1.26929,1.12159,0.44299,0.49013,0.448,0.28244,1.42635,2.49632,1.12237,0.00130393,0.00130393,0.00130393
24,41.1098,1.27271,1.40348,1.13321,0.42197,0.45329,0.43799,0.27915,1.34861,2.66073,1.13845,0.00128742,0.00128742,0.00128742
25,42.7422,1.20291,1.32342,1.09524,0.42424,0.40461,0.37457,0.22173,1.52311,3.13843,1.2398,0.00127092,0.00127092,0.00127092
26,44.3663,1.27675,1.3128,1.12708,0.364,0.46162,0.36553,0.20851,1.49141,2.60017,1.21458,0.00125442,0.00125442,0.00125442
27,46.0934,1.21459,1.2223,1.11288,0.56469,0.31831,0.42447,0.23712,1.41666,2.13943,1.14284,0.00123791,0.00123791,0.00123791
28,47.7224,1.27745,1.26243,1.17075,0.56209,0.38816,0.45451,0.25098,1.36593,1.74367,1.13229,0.00122141,0.00122141,0.00122141
29,49.3419,1.17836,1.16382,1.05226,0.39161,0.4386,0.42177,0.24096,1.37718,1.69931,1.13482,0.00120491,0.00120491,0.00120491
30,50.9405,1.10704,1.12644,1.05467,0.41049,0.41532,0.38341,0.229,1.30275,1.77329,1.13035,0.0011884,0.0011884,0.0011884
31,52.5408,1.13248,1.05212,1.05939,0.37582,0.46406,0.35869,0.22513,1.31856,1.96331,1.15369,0.0011719,0.0011719,0.0011719
32,54.1495,1.1772,1.10552,1.107,0.55146,0.4005,0.44501,0.24509,1.36863,1.76053,1.15563,0.0011554,0.0011554,0.0011554
33,55.7608,1.10549,1.11599,1.0782,0.50488,0.36623,0.40579,0.24561,1.33235,1.94804,1.1675,0.00113889,0.00113889,0.00113889
34,57.3961,1.12228,1.078,1.06737,0.35766,0.34295,0.27624,0.17226,1.43379,3.24967,1.24279,0.00112239,0.00112239,0.00112239
35,59.133,1.16222,1.12991,1.09286,0.39599,0.44298,0.29351,0.16237,1.63477,4.02153,1.34023,0.00110589,0.00110589,0.00110589
36,60.7424,1.13025,1.0989,1.07414,0.42712,0.49362,0.41111,0.22818,1.37411,2.4926,1.13539,0.00108938,0.00108938,0.00108938
37,62.3493,1.142,1.05348,1.09792,0.41324,0.5011,0.4035,0.2493,1.28561,1.96902,1.08954,0.00107288,0.00107288,0.00107288
38,64.093,1.0646,0.97505,1.0474,0.37388,0.42873,0.34401,0.19833,1.36418,1.96323,1.12831,0.00105638,0.00105638,0.00105638
39,65.7867,1.19409,1.08204,1.07601,0.49754,0.43941,0.41014,0.23193,1.35406,2.28132,1.12009,0.00103987,0.00103987,0.00103987
40,67.4772,1.11914,1.06883,1.07301,0.63461,0.46711,0.5189,0.30171,1.26283,1.56866,1.05933,0.00102337,0.00102337,0.00102337
41,69.1632,1.06519,0.93219,1.04138,0.71191,0.44079,0.54436,0.31285,1.25596,1.35936,1.05271,0.00100687,0.00100687,0.00100687
42,70.8305,1.06297,0.90579,1.04939,0.5364,0.52303,0.49206,0.296,1.27136,1.54373,1.05356,0.000990365,0.000990365,0.000990365
43,72.4553,1.06159,0.90119,1.05849,0.59401,0.39974,0.46873,0.27279,1.37175,1.74089,1.11228,0.000973861,0.000973861,0.000973861
44,74.1849,1.00175,0.80749,1.0188,0.64493,0.48452,0.51984,0.31085,1.26017,1.49875,1.0661,0.000957358,0.000957358,0.000957358
45,75.7819,1.01936,0.87693,1.01679,0.67086,0.51127,0.54332,0.3109,1.33502,1.4437,1.08679,0.000940855,0.000940855,0.000940855
46,77.3775,1.01644,0.886,1.00922,0.75685,0.52659,0.54628,0.31517,1.31776,1.42196,1.08699,0.000924352,0.000924352,0.000924352
47,79.0094,1.04703,0.87808,1.0248,0.78844,0.51425,0.57625,0.32112,1.30704,1.27553,1.07941,0.000907848,0.000907848,0.000907848
48,80.6235,0.97521,0.79993,1.0463,0.70532,0.51453,0.56221,0.34257,1.25006,1.26883,1.06438,0.000891345,0.000891345,0.000891345
49,82.2476,1.09013,0.86487,1.05886,0.73899,0.52,0.56792,0.33951,1.22775,1.26512,1.0316,0.000874842,0.000874842,0.000874842
50,83.8748,1.01724,0.84323,1.03805,0.90701,0.43424,0.53537,0.34008,1.24795,1.23417,1.06486,0.000858338,0.000858338,0.000858338
51,85.4595,1.04591,0.82441,1.01504,0.69788,0.52474,0.5632,0.34862,1.21516,1.20646,1.05925,0.000841835,0.000841835,0.000841835
52,87.1806,1.04049,0.82165,1.03657,0.62875,0.57569,0.57102,0.34298,1.28947,1.24694,1.0874,0.000825332,0.000825332,0.000825332
53,88.8088,0.98947,0.81821,1.01477,0.66302,0.6239,0.57679,0.34397,1.23935,1.25148,1.0781,0.000808828,0.000808828,0.000808828
54,90.4209,1.02034,0.85263,1.01516,0.68681,0.57724,0.55912,0.3488,1.23863,1.09793,1.066,0.000792325,0.000792325,0.000792325
55,92.0342,0.9896,0.78174,1.0166,0.61905,0.50351,0.53984,0.33042,1.28014,1.22958,1.04284,0.000775822,0.000775822,0.000775822
56,93.6434,0.87163,0.68047,0.96605,0.53552,0.49232,0.50724,0.31502,1.2366,1.33276,1.03392,0.000759318,0.000759318,0.000759318
57,95.2523,0.96054,0.74695,1.00551,0.63831,0.48684,0.55058,0.3409,1.24953,1.28001,1.03291,0.000742815,0.000742815,0.000742815
58,96.8647,0.92705,0.71287,0.99988,0.85911,0.45384,0.57684,0.36536,1.21374,1.28353,1.02127,0.000726312,0.000726312,0.000726312
59,98.4755,1.01647,0.77137,1.02084,0.70924,0.53297,0.56675,0.33962,1.22712,1.26774,1.04382,0.000709809,0.000709809,0.000709809
60,100.187,0.98687,0.74409,0.99257,0.64991,0.50652,0.53473,0.31933,1.26605,1.28253,1.04864,0.000693305,0.000693305,0.000693305
